date,year,month,day,season,rainfall,temperature,enterococci,month_name,season_name
2013-01-02,2013,1,2,1,0,23.4,6.7,January,Summer
2013-01-06,2013,1,6,1,0,30.3,2,January,Summer
2013-01-12,2013,1,12,1,0,31.4,69.1,January,Summer
2013-01-18,2013,1,18,1,0,46.4,9,January,Summer
2013-01-24,2013,1,24,1,0,27.5,33.9,January,Summer
2013-01-30,2013,1,30,1,0.6,26.6,26.5,January,Summer
2013-02-05,2013,2,5,1,0.1,25.7,66.9,February,Summer
2013-02-11,2013,2,11,1,8,22.2,117.5,February,Summer
2013-02-17,2013,2,17,1,13.6,26.3,75,February,Summer
2013-02-23,2013,2,23,1,7.2,24.8,310.6,February,Summer
2013-03-01,2013,3,1,2,28.6,21.2,135.4,March,Autumn
2013-03-07,2013,3,7,2,0,29.1,14.6,March,Autumn
2013-03-13,2013,3,13,2,0,29.4,3.5,March,Autumn
2013-03-19,2013,3,19,2,0,24.2,10.181818181818182,March,Autumn
2013-03-25,2013,3,25,2,0,25.8,57,March,Autumn
2013-04-02,2013,4,2,2,0,24.4,12.363636363636363,April,Autumn
2013-04-06,2013,4,6,2,12.6,22,43.63636363636363,April,Autumn
2013-04-12,2013,4,12,2,0,26.1,6.7272727272727275,April,Autumn
2013-04-18,2013,4,18,2,7.8,23.2,8.454545454545455,April,Autumn
2013-04-24,2013,4,24,2,0,22.9,6.090909090909091,April,Autumn
2013-05-01,2013,5,1,2,0,24.4,6.090909090909091,May,Autumn
2013-05-07,2013,5,7,2,0,20,1.2,May,Autumn
2013-05-14,2013,5,14,2,0.4,19.3,9.2,May,Autumn
2013-05-20,2013,5,20,2,0,20.2,2.1,May,Autumn
2013-05-25,2013,5,25,2,11.4,18.6,17.1,May,Autumn
2013-05-31,2013,5,31,2,0,25,4.3,May,Autumn
2013-06-06,2013,6,6,3,0,21.8,4.1,June,Winter
2013-06-12,2013,6,12,3,0,16.2,160.9,June,Winter
2013-06-17,2013,6,17,3,0,16.4,24.22222222222222,June,Winter
2013-06-24,2013,6,24,3,55.6,15,32.5,June,Winter
2013-06-30,2013,6,30,3,60.8,15.7,845.2,June,Winter
2013-07-06,2013,7,6,3,0,18.5,5.3,July,Winter
2013-07-12,2013,7,12,3,0,20.8,2.5,July,Winter
2013-07-18,2013,7,18,3,0,23.3,4.2,July,Winter
2013-07-24,2013,7,24,3,0,16.1,47,July,Winter
2013-07-30,2013,7,30,3,0,20.1,2.4,July,Winter
2013-08-08,2013,8,8,3,10.4,13.3,30.3,August,Winter
2013-08-14,2013,8,14,3,0,24.7,0.8,August,Winter
2013-08-16,2013,8,16,3,0,21.7,0.2,August,Winter
2013-08-22,2013,8,22,3,0,19.4,3.9,August,Winter
2013-08-29,2013,8,29,3,0,22.8,0.4,August,Winter
2013-09-02,2013,9,2,4,0,24.4,0.4,September,Spring
2013-09-10,2013,9,10,4,0,33.6,4.4,September,Spring
2013-09-16,2013,9,16,4,1.8,18.1,46.72727272727273,September,Spring
2013-09-22,2013,9,22,4,0,24.2,4.7272727272727275,September,Spring
2013-09-28,2013,9,28,4,0,30.4,2.090909090909091,September,Spring
2013-10-04,2013,10,4,4,3,18.8,3.5454545454545454,October,Spring
2013-10-12,2013,10,12,4,0,26.8,1.8181818181818181,October,Spring
2013-10-20,2013,10,20,4,0,28.3,3.3636363636363638,October,Spring
2013-10-28,2013,10,28,4,33.8,23.3,54.45454545454545,October,Spring
2013-11-05,2013,11,5,4,0,19.9,16.363636363636363,November,Spring
2013-11-13,2013,11,13,4,8.8,29.7,4,November,Spring
2013-11-21,2013,11,21,4,0,27.1,15.727272727272727,November,Spring
2013-11-29,2013,11,29,4,NA,20.7,18.90909090909091,November,Spring
2013-12-07,2013,12,7,1,0,25.6,10.090909090909092,December,Summer
2013-12-13,2013,12,13,1,0,28.9,4.7272727272727275,December,Summer
2013-12-23,2013,12,23,1,0,36.6,4.909090909090909,December,Summer
2013-12-31,2013,12,31,1,0,30.2,547.0909090909091,December,Summer
2014-01-08,2014,1,8,1,2.8,22.5,7.2727272727272725,January,Summer
2014-01-16,2014,1,16,1,0,30.8,13.090909090909092,January,Summer
2014-01-24,2014,1,24,1,0,28.4,7.454545454545454,January,Summer
2014-02-01,2014,2,1,1,0,27.8,13.272727272727273,February,Summer
2014-02-09,2014,2,9,1,0,30.7,3.1818181818181817,February,Summer
2014-02-17,2014,2,17,1,26.4,25.3,90.9090909090909,February,Summer
2014-02-25,2014,2,25,1,0,28.9,9.636363636363637,February,Summer
2014-03-05,2014,3,5,2,0.1,30.7,14.818181818181818,March,Autumn
